Russian,English
упражнение,exercise
цивилизация,civilization
чин,rank [not ранг]
шевелиться/по-,to stir
автобус,bus
бесспорно,indisputably
бесстрашный,fearless
благодарность,gratitude
брюки,trousers
вождь,leader
вспышка,flash
вытекать/вытечь,to flow out
гладкий,smooth
грубо,coarsely
давить,"to press, put pressure on (на +a)"
двадцатый,twentieth
делиться/раз-,to be divided (into) (на +a)
дескать,"(indicating reported speech) ‘he said’, ‘they said’ etc. (coll)"
дрянь,rubbish (coll)
завтрак,breakfast
замечание,remark
зелень,greenery
наглядный,"clear, graphic"
нагрузка,load; workload
надобность,"necessity, need [not необходимость]"
недолго,not (for) long
недоступный,inaccessible
независимо,independently [not самостоятельно]
неясный,unclear
нуль,zero
ограниченный,limited
осматривать/осмотреть,"to examine; look round (sth), inspect (+a)"
отвергать/отвергнуть,to reject (+a)
пиво,beer
побережье,coast
подальше,a little further (coll)
ползти/по-,to crawl
прибегать/прибегнуть (к +d),to run to; resort to
противный,disgusting
пушистый,"fluffy, downy"
пышный,luxuriant
разбитый,broken
сбоку,from the side
валиться/с-,"to fall, fall down"
симпатия (к +d),liking (for s.o.)
сказочный,fairy-tale (adj)
слабо,weakly
сладко,sweetly
справедливо,"justly, fairly; correctly"
умница,clever person (coll)
сталкиваться/столкнуться (с +inst),to collide with
унылый,"sad, cheerless"
сторонник,supporter
упрёк,reproach
типичный,typical
усиливать/усилить,to strengthen (+a)
тонуть/у-,to sink; drown
трамвай,"tram, streetcar"
тротуар,"pavement, sidewalk"
увлекаться/увлечься (+inst),to be keen on
уводить/увести (+a от +g),to lead away
хор,chorus; choir
четверо,"four, foursome (collective numeral)"
чистота,cleanliness; purity
босой,barefoot
вертеть/по-,to twirl
всходить/взойти (на +a),to ascend
вмешиваться/вмешаться,to interfere (in) (в +a)
вольный,free [not свободный]
воротник,collar
выдумка,"invention; fabrication, lie"
выслушивать/выслушать,to hear (s.o.) out (+a)
выставлять/выставить,"to display, put forward (+a)"
грусть,sadness
даваться/даться (+d),"to be given; come easily (to s.o.), be learnt easily"
дата,date
дипломат,diplomat; attaché-case
единственно,only
жать/с-,to squeeze; harvest (+a)
жулик,petty thief; cheat
завтрашний,tomorrow’s
звенеть/за-,to ring; (+inst) jingle
игрушка,toy
излагать/изложить,"to set out, expound, put in words (+a)"
исправлять/исправить,to correct (+a)
кафе,café
каша,"kasha (porridge made of buckwheat, semolina or oatmeal)"
коллективный,collective
контора,office
маршрут,route
могущество,"power, might"
наделать (+g),to make; (coll) to do
наружу,outside
невиданный,unprecedented
невысокий,"low, short"
недостаточный,insufficient
незначительный,insignificant
необычный,unusual
неподвижно,"motionlessly, still"
нервный,nervous
ничуть,not in the least (coll)
ножка,"leg; stem (of wineglass, mushroom)"
облегчать/облегчить,to lighten; simplify; make easier (+a)
обрывать/оборвать,to tear off; interrupt (+a)
